# Every number of the main text of manuscript/draft_v2.md (title to Materials and methods, the six figure captions and the three table captions and bodies, the Data and code availability statement, and the Supporting-information captions), one row per occurrence, in reading order. category: data (checked against the named file at the named line, at the printed precision), design (a fixed setting of the analysis, located in the named file), literature (a value of a cited work, located in the literature table), bound (a stated bound, checked to hold against the file's value), derived (computed from quoted values; the derivation is given), label (a name, index, date or formula constant, not a quantity). Round 17 (the revision of 25 September 2026).
section,paragraph,occurrence,number,category,source_file,locator,note,check,context
Abstract,paragraph 1,2,14,design,results/primary_b_ts_gsr_win60.csv,"line 2; anchor: section,statistic",N = 14 subjects (the per-subject rows of the primary result),ok,"MI-sts fell (−0.081 nats [−0.132, −0.031], p = 0.004, 13 of 14) with r₁, close to the −0.094 of a gene"
Abstract,paragraph 1,1,−0.094,data,notes/review_results/partB/bandpassed_expectations_tables.md,line 12; the line holds -0.09441; anchor: | observed sts | -0.09441,"B24, condition (i): −0.09441 ± 0.00222 (B17b −0.0940 ± 0.0028)",ok,"−0.132, −0.031], p = 0.004, 13 of 14) with r₁, close to the −0.094 of a generator with the data's spectrum"
Abstract,paragraph 1,1,0.95,data,notes/review_results/partB/inference_revision_tables.md,line 359; the line holds +0.951; anchor: | ts_gsr | +0.742 | +0.645 | +0.694 |,disattenuated +0.951,ok,"nges share most of their reliable variance (disattenuated r 0.95 [0.62, 0.99]). The regional sts map fol"
Abstract,paragraph 1,1,0.62,data,notes/review_results/partB/inference_revision_tables.md,line 359; the line holds +0.617; anchor: | ts_gsr | +0.742 | +0.645 | +0.694 |,"bootstrap interval [+0.617, +0.991]",ok,"hare most of their reliable variance (disattenuated r 0.95 [0.62, 0.99]). The regional sts map follows r"
Abstract,paragraph 1,1,0.99,data,notes/review_results/partB/inference_revision_tables.md,line 359; the line holds +0.991; anchor: | ts_gsr | +0.742 | +0.645 | +0.694 |,"bootstrap interval [+0.617, +0.991]",ok,"ost of their reliable variance (disattenuated r 0.95 [0.62, 0.99]). The regional sts map follows regiona"
Abstract,paragraph 1,1,0.86,data,notes/review_results/partB/regional_sts_r1_tables.md,line 9; the line holds +0.863; anchor: | sts | r₁ windowed | +0.863,Pearson +0.863,ok,"0.62, 0.99]). The regional sts map follows regional r₁ (r = 0.86). Recomputed with AR(1) cross-lags at e"
Abstract,paragraph 1,5,1,label,,,"AR(1), lag-1: names",ok, sts map follows regional r₁ (r = 0.86). Recomputed with AR(1) cross-lags at each pair's measured aut
Abstract,paragraph 1,3,0,label,,,lag-0: a name,ok,"cross-lags at each pair's measured autocorrelations and lag-0 correlation, sts falls by 0.0115 more t"
Abstract,paragraph 1,1,0.0115,data,notes/review_results/partB/inference_revision.csv,"line 231; the line holds 0.011528731183782628; anchor: pickle,diag residual sts ts_gsr W60,primary,did",mean +0.01153,ok,"asured autocorrelations and lag-0 correlation, sts falls by 0.0115 more than observed, against 0.003–0.005"
Abstract,paragraph 1,1,0.003,data,notes/review_results/partB/calibration_filtered_tables.md,line 8; the line holds 0.0028; anchor: (i) Δa (post filter) | W60,band-passed generator: +0.0027 ± 0.0014,ok,"orrelation, sts falls by 0.0115 more than observed, against 0.003–0.005 in simulated pure autocorrelation"
Abstract,paragraph 1,1,0.005,data,notes/review_results/partB/calibration_tables.md,"line 8; the line holds +0.0049; anchor: (i) Δa = −0.015, Δc = 0 | W60","AR(1) pairs: +0.0049 ± 0.0017 (the finite-sample null gives +0.0054, NL line 16)",ok,"tion, sts falls by 0.0115 more than observed, against 0.003–0.005 in simulated pure autocorrelation chang"
Abstract,paragraph 1,1,0.11,data,notes/review_results/partB/inference_revision_tables.md,line 309; the line holds 0.1079; anchor: | +0.0027 | 0.1079,B21 (b): p = 0.1079 against +0.0027,ok, 0.003–0.005 in simulated pure autocorrelation changes (p = 0.11–0.25); the difference cannot be attribu
Abstract,paragraph 1,1,0.25,data,notes/review_results/partB/inference_revision_tables.md,line 311; the line holds 0.2506; anchor: | +0.0054 | 0.2506,B21 (b): p = 0.2506 against +0.0054,ok,3–0.005 in simulated pure autocorrelation changes (p = 0.11–0.25); the difference cannot be attributed o
Abstract,paragraph 1,6,1,label,,,"AR(1), lag-1: names",ok,reporting r₁ beside sts and each sts contrast beside its AR(1)-substituted estimate.
Introduction,paragraph 1,1,1,label,,,lag-1: a name,ok,"i et al., 2023; Down et al., 2026), on BOLD series whose lag-1 autocorrelation is high because of hae"
Introduction,paragraph 2,1,1,label,,,½ ln(1 + α²): formula,ok,"e pasts are the sources, while the MMI synergy stays at ½ ln(1 + α²) (his Eqs. 73 and 79–82). MMI's a"
Introduction,paragraph 2,1,79,label,,,citation locator (Barrett's Eqs. 79–82),ok," while the MMI synergy stays at ½ ln(1 + α²) (his Eqs. 73 and 79–82). MMI's aggregate synergy, the sam"
Introduction,paragraph 2,1,82,label,,,citation locator,ok,"ile the MMI synergy stays at ½ ln(1 + α²) (his Eqs. 73 and 79–82). MMI's aggregate synergy, the same f"
Introduction,paragraph 2,2,1,label,,,½ ln(1 + α²): formula,ok,"s carry the self-information, how sts depends on a pair's lag-1 autocorrelation r₁ and lag-0 correlat"
Introduction,paragraph 2,1,0,label,,,lag-0: a name,ok," how sts depends on a pair's lag-1 autocorrelation r₁ and lag-0 correlation q, where real region pair"
Introduction,paragraph 3,1,1,label,,,"lag-1, AR(1): names",ok,"d by the pairs' self-prediction atoms and went with the lag-1 autocorrelation contrast, and the close"
Introduction,paragraph 3,2,1,label,,,"AR(1), lag-1: names",ok,"give the closed form for two first-order autoregressive (AR(1)) processes correlated at lag 0, with i"
Introduction,paragraph 3,1,0,label,,,lag-0: a name,ok,"st-order autoregressive (AR(1)) processes correlated at lag 0, with its exchange rates in data units "
Introduction,paragraph 3,3,1,label,,,the number of a Results section,ok,"correlated at lag 0, with its exchange rates in data units (1), the DMT contrast (2), the regional ma"
Introduction,paragraph 3,1,2,label,,,the number of a Results section,ok,"ith its exchange rates in data units (1), the DMT contrast (2), the regional map (3), an estimate tha"
Introduction,paragraph 3,1,3,label,,,the number of a Results section,ok," in data units (1), the DMT contrast (2), the regional map (3), an estimate that keeps each pair's me"
Introduction,paragraph 3,2,0,label,,,lag-0: a name,ok,"te that keeps each pair's measured autocorrelations and lag-0 correlation (4), the lag dependence (5)"
Introduction,paragraph 3,1,4,label,,,the number of a Results section,ok,"ach pair's measured autocorrelations and lag-0 correlation (4), the lag dependence (5), CCS (6) and r"
Introduction,paragraph 3,1,5,label,,,the number of a Results section,ok,"correlations and lag-0 correlation (4), the lag dependence (5), CCS (6) and remedies (7). Apart from "
Introduction,paragraph 3,1,6,label,,,the number of a Results section,ok,"ons and lag-0 correlation (4), the lag dependence (5), CCS (6) and remedies (7). Apart from the prima"
Introduction,paragraph 3,1,7,label,,,the number of a Results section,ok,"relation (4), the lag dependence (5), CCS (6) and remedies (7). Apart from the primary contrast every"
Results,paragraph 1,1,1,label,,,lag-1: a name,ok,"pre) on DMT minus (post − pre) on placebo, per subject. Lag-1 autocorrelation r₁ is estimated two way"
Results,paragraph 1,2,1,design,manuscript/analysis_record.md,line 1747; anchor: Primary (pre windows 1–4 / bins 1–8; post windows 6–14 / bins 11–28),window and bin sets,ok,"₁ is estimated two ways: regional r₁, a region's sample lag-1 autocorrelation within a window (its me"
Results,paragraph 1,3,1,label,,,lag-1: a name,ok," whole-brain r₁), and pair r₁, the mean of a pair's two lag-1 correlations in its window's 4 × 4 corr"
Results,paragraph 1,1,4,label,,,matrix dimension,ok,"the mean of a pair's two lag-1 correlations in its window's 4 × 4 correlation matrix, the quantity th"
Results,paragraph 1,2,4,label,,,matrix dimension,ok,"mean of a pair's two lag-1 correlations in its window's 4 × 4 correlation matrix, the quantity the si"
Results,paragraph 1,4,1,label,,,AR(1): a name,ok,"tion matrix, the quantity the simulations report and the AR(1)-substituted estimate uses; on the fami"
Results,paragraph 1,1,60,design,manuscript/analysis_record.md,line 189; anchor: W = 60,W = 60,ok,-substituted estimate uses; on the family both equal a. W = 60 denotes the primary estimator's 60-TR w
Results,paragraph 1,2,60,design,manuscript/analysis_record.md,line 189; anchor: W = 60,60-TR windows,ok,family both equal a. W = 60 denotes the primary estimator's 60-TR windows.
Results / 1. The sixteen atoms in closed form,paragraph 1,1,1,label,,,formula constant or name,ok,Let x and y be unit-variance AR(1) processes with lag-1 autocorrelation a
Results / 1. The sixteen atoms in closed form,paragraph 1,2,1,label,,,formula constant or name,ok,Let x and y be unit-variance AR(1) processes with lag-1 autocorrelation a (= r₁) whose innovati
Results / 1. The sixteen atoms in closed form,paragraph 1,1,0,label,,,lag-0: a name,ok," (= r₁) whose innovations are correlated, so that their lag-0 correlation is q and corr(x_t, y_{t+1})"
Results / 1. The sixteen atoms in closed form,paragraph 1,3,1,label,,,formula constant or name,ok,"ed, so that their lag-0 correlation is q and corr(x_t, y_{t+1}) = aq, with no lagged interaction. Wit"
Results / 1. The sixteen atoms in closed form,paragraph 1,4,1,label,,,formula constant or name,ok,", y_{t+1}) = aq, with no lagged interaction. With S = −½ ln(1 − a²), the self-information of one proc"
Results / 1. The sixteen atoms in closed form,paragraph 1,5,1,label,,,formula constant or name,ok,"1 − a²), the self-information of one process, and C = −½ ln(1 − a²q²), the cross-lag mutual informati"
Results / 1. The sixteen atoms in closed form,paragraph 2,1,0,label,,,formula constant or name,ok,"rtx = rty = xtr = ytr = xty = ytx = 0,   xtx = yty = rts = str = S − C,   xts"
Results / 1. The sixteen atoms in closed form,paragraph 3,1,2,label,,,formula constant,ok,sts = 2S − C = −ln(1 − a²) + ½ ln(1 − a²q²).
Results / 1. The sixteen atoms in closed form,paragraph 3,1,1,label,,,formula constant or name,ok,sts = 2S − C = −ln(1 − a²) + ½ ln(1 − a²q²).
Results / 1. The sixteen atoms in closed form,paragraph 3,2,1,label,,,formula constant or name,ok,sts = 2S − C = −ln(1 − a²) + ½ ln(1 − a²q²).
Results / 1. The sixteen atoms in closed form,paragraph 5,1,2,label,,,formula constant,ok,"sts − (xtx + yty) = rtr,   rtr + sts = TDMI = 2S,   ΦR = rtr,"
Results / 1. The sixteen atoms in closed form,paragraph 6,1,0,label,,,formula constant or name,ok," Varley's (2024) aggregate synergy (his Eq. 3), which at q = 0 is his identity for a disintegrated pa"
Results / 1. The sixteen atoms in closed form,paragraph 7,1,0,label,,,q = 0 / rtr = 0: exact values of the formula,ok,"e MMI minima select the less self-predictive member. At q = 0, sts = 2 min(S_x, S_y) exactly and rtr "
Results / 1. The sixteen atoms in closed form,paragraph 7,1,2,label,,,formula constant,ok,"ima select the less self-predictive member. At q = 0, sts = 2 min(S_x, S_y) exactly and rtr = 0, so s"
Results / 1. The sixteen atoms in closed form,paragraph 7,2,0,label,,,q = 0 / rtr = 0: exact values of the formula,ok,"e member. At q = 0, sts = 2 min(S_x, S_y) exactly and rtr = 0, so sts lies below xtx + yty = S_x + S_"
Results / 1. The sixteen atoms in closed form,paragraph 7,1,0.80,design,notes/review_results/partB/diagnostic_alternatives_tables.md,line 196; anchor: | 0.80 | 0.05 |,grid,ok,"w xtx + yty = S_x + S_y by |S_x − S_y|. On a grid of mean a 0.80–0.90 and q 0.05–0.70, str equals the sm"
Results / 1. The sixteen atoms in closed form,paragraph 7,1,0.90,design,notes/review_results/partB/diagnostic_alternatives_tables.md,line 208; anchor: | 0.90 | 0.05 |,grid,ok," + yty = S_x + S_y by |S_x − S_y|. On a grid of mean a 0.80–0.90 and q 0.05–0.70, str equals the smaller"
Results / 1. The sixteen atoms in closed form,paragraph 7,1,0.05,design,notes/review_results/partB/diagnostic_alternatives_tables.md,line 196; anchor: | 0.80 | 0.05 |,B23 (f) grid: q from 0.05,ok,"x + S_y by |S_x − S_y|. On a grid of mean a 0.80–0.90 and q 0.05–0.70, str equals the smaller self-predi"
Results / 1. The sixteen atoms in closed form,paragraph 7,1,0.70,design,notes/review_results/partB/diagnostic_alternatives_tables.md,line 201; anchor: | 0.80 | 0.70 |,B23 (f) grid: q to 0.70,ok,"_y by |S_x − S_y|. On a grid of mean a 0.80–0.90 and q 0.05–0.70, str equals the smaller self-prediction"
Results / 1. The sixteen atoms in closed form,paragraph 7,1,0.008,data,notes/review_results/partB/diagnostic_alternatives_tables.md,line 204; the line holds 0.0080; anchor: | 0.85 | 0.25 |,"B23 (f): asymmetry 0.0080 at (0.85, 0.25)",ok,"e asymmetry and changes sign at an asymmetry |a_x − a_y| of 0.008 at (0.85, 0.25) (S3 Text)."
Results / 1. The sixteen atoms in closed form,paragraph 7,1,0.85,design,notes/review_results/partB/exchange_rates_tables.md,"line 4; anchor: (0.85, 0.25)",the operating point,ok,"y and changes sign at an asymmetry |a_x − a_y| of 0.008 at (0.85, 0.25) (S3 Text)."
Results / 1. The sixteen atoms in closed form,paragraph 7,1,0.25,design,notes/review_results/partB/exchange_rates_tables.md,"line 4; anchor: (0.85, 0.25)",the operating point,ok,"changes sign at an asymmetry |a_x − a_y| of 0.008 at (0.85, 0.25) (S3 Text)."
Results / 1. The sixteen atoms in closed form,paragraph 8,1,0.85,design,notes/review_results/partB/exchange_rates_tables.md,"line 4; anchor: (0.85, 0.25)",the operating point,ok,"he operating point of these data's region pairs, (r₁, q) = (0.85, 0.25) (Fig 1a), 0.01 of r₁ moves sts b"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,0.25,design,notes/review_results/partB/exchange_rates_tables.md,"line 4; anchor: (0.85, 0.25)",the operating point,ok,"rating point of these data's region pairs, (r₁, q) = (0.85, 0.25) (Fig 1a), 0.01 of r₁ moves sts by 0.06"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,0.01,design,notes/review_results/partB/exchange_rates_tables.md,line 8; anchor: per 0.01 of,the step,ok," these data's region pairs, (r₁, q) = (0.85, 0.25) (Fig 1a), 0.01 of r₁ moves sts by 0.061 nats (∂sts/∂r"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,0.061,data,notes/review_results/partB/exchange_rates_tables.md,line 8; the line holds +0.0607; anchor: r₁ (both members),+0.0607,ok,"rs, (r₁, q) = (0.85, 0.25) (Fig 1a), 0.01 of r₁ moves sts by 0.061 nats (∂sts/∂r₁ = +6.07), 0.1 of |q| by"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,+6.07,data,notes/review_results/partB/exchange_rates_tables.md,line 8; the line holds +6.0705; anchor: r₁ (both members) | +6.0705,+6.0705,ok,"25) (Fig 1a), 0.01 of r₁ moves sts by 0.061 nats (∂sts/∂r₁ = +6.07), 0.1 of |q| by 0.019 (∂sts/∂q = −0.19"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,0.1,design,notes/review_results/partB/exchange_rates_tables.md,line 9; anchor: per 0.1 of,the step,ok," 1a), 0.01 of r₁ moves sts by 0.061 nats (∂sts/∂r₁ = +6.07), 0.1 of |q| by 0.019 (∂sts/∂q = −0.19; sts "
Results / 1. The sixteen atoms in closed form,paragraph 8,1,0.019,data,notes/review_results/partB/exchange_rates_tables.md,line 9; the line holds -0.0189; anchor: q (lag-0 correlation),−0.0189,ok,"r₁ moves sts by 0.061 nats (∂sts/∂r₁ = +6.07), 0.1 of |q| by 0.019 (∂sts/∂q = −0.19; sts is even in q), a"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,−0.19,data,notes/review_results/partB/exchange_rates_tables.md,line 9; the line holds -0.1892; anchor: q (lag-0 correlation) | -0.1892,−0.1892,ok,".061 nats (∂sts/∂r₁ = +6.07), 0.1 of |q| by 0.019 (∂sts/∂q = −0.19; sts is even in q), and 0.01 of within"
Results / 1. The sixteen atoms in closed form,paragraph 8,2,0.01,design,notes/review_results/partB/exchange_rates_tables.md,line 8; anchor: per 0.01 of,the step,ok,"0.1 of |q| by 0.019 (∂sts/∂q = −0.19; sts is even in q), and 0.01 of within-pair asymmetry |a_x − a_y| b"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,0.031,data,notes/review_results/partB/exchange_rates_tables.md,line 12; the line holds -0.0309; anchor: per 0.01 of \|a_x − a_y\|,−0.0309,ok,"even in q), and 0.01 of within-pair asymmetry |a_x − a_y| by 0.031. Per standard deviation of the pairs' "
Results / 1. The sixteen atoms in closed form,paragraph 8,1,0.0284,data,notes/review_results/partB/aligned_directed_tables.md,line 27; the line holds 0.0284; anchor: mean between-pair SD of r₁ 0.0284,B22 (d),ok, standard deviation of the pairs' variation within a window (0.0284 for pair r₁ and 0.196 for |q|; S3 Text
Results / 1. The sixteen atoms in closed form,paragraph 8,1,0.196,data,notes/review_results/partB/aligned_directed_tables.md,line 27; the line holds 0.1957; anchor: of |q| 0.1957; ratio,B22 (d): 0.1957,ok,"the pairs' variation within a window (0.0284 for pair r₁ and 0.196 for |q|; S3 Text), the r₁ rate is 4.7 "
Results / 1. The sixteen atoms in closed form,paragraph 8,1,4.7,data,notes/review_results/partB/aligned_directed_tables.md,line 27; the line holds 4.66; anchor: ratio (6.0705 × SD_r₁)/(0.1892 × SD_|q|) 4.66,4.66,ok,"0284 for pair r₁ and 0.196 for |q|; S3 Text), the r₁ rate is 4.7 times the |q| rate, and 3.3 times acro"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,3.3,data,notes/review_results/partB/aligned_directed_tables.md,line 28; the line holds 3.28; anchor: of |q| 0.0799; ratio 3.28,group level 3.28,ok,"or |q|; S3 Text), the r₁ rate is 4.7 times the |q| rate, and 3.3 times across pairs averaged over subje"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,+5.13,data,notes/review_results/partB/aligned_directed_tables.md,line 29; the line holds +5.126; anchor: +5.126 per unit r₁,"B22 (d): within-window OLS, +5.126",ok,"of pair sts on r₁, |q| and |a_x − a_y| (S3 Text) the slopes, +5.13 per unit of r₁ and −0.53 per unit of |"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,−0.53,data,notes/review_results/partB/aligned_directed_tables.md,line 29; the line holds -0.528; anchor: -0.528 per unit |q|,B22 (d): −0.528,ok,"d |a_x − a_y| (S3 Text) the slopes, +5.13 per unit of r₁ and −0.53 per unit of |q|, make the per-SD ratio"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,1.4,derived,,derived: (5.126 × 0.0284) / (0.528 × 0.1957) = 1.41 (AD lines 27 and 29; derived_r17.out item 5),,ok," unit of r₁ and −0.53 per unit of |q|, make the per-SD ratio 1.4, the |q| slope being 2.8 times the pop"
Results / 1. The sixteen atoms in closed form,paragraph 8,1,2.8,derived,,derived: 0.528 / 0.1892 = 2.79 (AD line 29; ER line 9),,ok," unit of |q|, make the per-SD ratio 1.4, the |q| slope being 2.8 times the population rate, consistent "
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,1,label,,,AR(1): a name,ok,"map and the coupled family.** (a) Gaussian-MMI sts of two AR(1) processes correlated only at lag 0, a"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,0,label,,,lag-0: a name,ok,"ussian-MMI sts of two AR(1) processes correlated only at lag 0, as a function of the pair's lag-1 aut"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",2,1,label,,,½ ln(1 + α²): formula,ok,"es correlated only at lag 0, as a function of the pair's lag-1 autocorrelation r₁ and lag-0 cross-cor"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",2,0,label,,,lag-0: a name,ok,as a function of the pair's lag-1 autocorrelation r₁ and lag-0 cross-correlation q (closed form of Me
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,0.01,design,scripts/15_figures_v2.py,line 138; anchor: STEP = 0.01,"the grid step of the scope map, a plotting setting",ok,"lag-0 cross-correlation q (closed form of Methods; grid step 0.01), with the density of one subject's sa"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",3,1,label,,,subject index,ok,ject's saved pre-injection pairs — the overlay holds subject 1 only (ts_gsr; windows 1–4 of both runs
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",4,1,design,manuscript/analysis_record.md,line 1747; anchor: Primary (pre windows 1–4 / bins 1–8; post windows 6–14 / bins 11–28),pre-injection windows 1–4,ok,"on pairs — the overlay holds subject 1 only (ts_gsr; windows 1–4 of both runs, 52,440 pair × window p"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,4,design,manuscript/analysis_record.md,line 1747; anchor: Primary (pre windows 1–4 / bins 1–8; post windows 6–14 / bins 11–28),pre-injection windows 1–4,ok," pairs — the overlay holds subject 1 only (ts_gsr; windows 1–4 of both runs, 52,440 pair × window poi"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,"52,440",derived,,"derived: 6,555 pairs × 4 windows × 2 runs = 52,440 (scope_map_tables.md: 6555 pairs per window)",,ok,"rlay holds subject 1 only (ts_gsr; windows 1–4 of both runs, 52,440 pair × window points; contours at the "
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,50,design,scripts/15_figures_v2.py,"line 176; anchor: np.percentile(H[H > 0], [50, 80, 95])","contour percentiles, a plotting setting",ok,"4 of both runs, 52,440 pair × window points; contours at the 50th, 80th and 95th percentiles of the oc"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,80,design,scripts/15_figures_v2.py,"line 176; anchor: np.percentile(H[H > 0], [50, 80, 95])","contour percentiles, a plotting setting",ok,"oth runs, 52,440 pair × window points; contours at the 50th, 80th and 95th percentiles of the occupied"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,95,design,scripts/15_figures_v2.py,"line 176; anchor: np.percentile(H[H > 0], [50, 80, 95])","contour percentiles, a plotting setting",ok," 52,440 pair × window points; contours at the 50th, 80th and 95th percentiles of the occupied cells; r"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",5,1,label,,,lag-1: a name,ok,"upied cells; r₁ = mean of the two regions' within-window lag-1 autocorrelations, q = the pair's withi"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",3,0,label,,,lag-0: a name,ok,"dow lag-1 autocorrelations, q = the pair's within-window lag-0 correlation; median r₁ 0.855, median |"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,0.855,data,manuscript/figures/captions_v2.md,line 7; the line holds 0.855; anchor: median r₁ 0.855,computed by scripts/15_figures_v2.py from the saved pre-injection pairs of subject 1 (scope_map_tables.md gives per-window medians 0.840–0.867),ok,"s, q = the pair's within-window lag-0 correlation; median r₁ 0.855, median |q| 0.249) and the operating p"
Results / 1. The sixteen atoms in closed form,"Fig 1, caption",1,0.249,data,manuscript/figures/captions_v2.md,line 7; the line holds 0.249; anchor: median |q| 0.249,computed by scripts/15_figures_v2.py from the saved pre-injection pairs of subject 1 (scope_map_tables.md gives per-window |q| medians 0.222–0.305),ok,"within-window lag-0 correlation; median r₁ 0.855, median |q| 0.249) and the operating point (0.85, 0.25) "
